Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Scotland,Scotland,Inverness,Non Dairy,ABERDEEN ANGUS,M,Birth Application,12
2015,January  ,Scotland,Scotland,Moray,Non Dairy,ABERDEEN ANGUS,F,Birth Application,18
2015,January  ,Scotland,Scotland,Kirkcudbright,Non Dairy,ABERDEEN ANGUS,F,Birth Application,2
2015,January  ,Scotland,Scotland,Dunbarton,Non Dairy,ABERDEEN ANGUS,F,Birth Application,1
2015,January  ,Scotland,Scotland,Sutherland,Non Dairy,ABERDEEN ANGUS,F,Birth Application,3
2015,January  ,Scotland,Scotland,Moray,Non Dairy,ABERDEEN ANGUS,M,Birth Application,14
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,ABERDEEN ANGUS,F,Birth Application,29
2015,January  ,Scotland,Scotland,Orkney,Non Dairy,ABERDEEN ANGUS,F,Birth Application,17
2015,January  ,Scotland,Scotland,Caithness,Non Dairy,ABERDEEN ANGUS,F,Birth Application,2
2015,January  ,Scotland,Scotland,Angus,Non Dairy,ABERDEEN ANGUS,M,Birth Application,17
2015,January  ,Scotland,Scotland,West Lothian,Non Dairy,ABERDEEN ANGUS,F,Birth Application,13
2015,January  ,Scotland,Scotland,Clackmannan,Non Dairy,ABERDEEN ANGUS,M,Birth Application,3
2015,January  ,Scotland,Scotland,Stirling,Non Dairy,ABERDEEN ANGUS,M,Birth Application,1
2015,January  ,Scotland,Scotland,Ross and Cromarty,Non Dairy,ABERDEEN ANGUS,F,Birth Application,4
2015,January  ,Scotland,Scotland,Ayr,Non Dairy,ABERDEEN ANGUS,M,Birth Application,25
2015,January  ,Scotland,Scotland,Angus,Non Dairy,ABERDEEN ANGUS,F,Birth Application,15
2015,January  ,Scotland,Scotland,Inverness,Non Dairy,ABERDEEN ANGUS,F,Birth Application,11
2015,January  ,Scotland,Scotland,Berwick,Non Dairy,ABERDEEN ANGUS,M,Birth Application,16
2015,January  ,Scotland,Scotland,Dumfries,Non Dairy,ABERDEEN ANGUS,M,Birth Application,23
2015,January  ,Scotland,Scotland,Kinross,Non Dairy,ABERDEEN ANGUS,M,Birth Application,1
2015,January  ,Scotland,Scotland,Ross and Cromarty,Non Dairy,ABERDEEN ANGUS,M,Birth Application,6
2015,January  ,Scotland,Scotland,Kincardine,Non Dairy,ABERDEEN ANGUS,F,Birth Application,2
2015,January  ,Scotland,Scotland,Kinross,Non Dairy,ABERDEEN ANGUS,F,Birth Application,1
2015,January  ,Scotland,Scotland,Ayr,Non Dairy,ABERDEEN ANGUS,F,Birth Application,16
2015,January  ,Scotland,Scotland,Wigtown,Non Dairy,ABERDEEN ANGUS,M,Birth Application,14
2015,January  ,Scotland,Scotland,Lanark,Non Dairy,ABERDEEN ANGUS,F,Birth Application,5
2015,January  ,Scotland,Scotland,Mid Lothian,Non Dairy,ABERDEEN ANGUS,M,Birth Application,7
2015,January  ,Scotland,Scotland,Kirkcudbright,Non Dairy,ABERDEEN ANGUS,M,Birth Application,1
2015,January  ,Scotland,Scotland,Banff,Non Dairy,ABERDEEN ANGUS,F,Birth Application,5
2015,January  ,Scotland,Scotland,Fife,Non Dairy,ABERDEEN ANGUS,M,Birth Application,16
2015,January  ,Scotland,Scotland,Wigtown,Non Dairy,ABERDEEN ANGUS,F,Birth Application,8
2015,January  ,Scotland,Scotland,Mid Lothian,Non Dairy,ABERDEEN ANGUS,F,Birth Application,5
2015,January  ,Scotland,Scotland,Aberdeen,Non Dairy,ABERDEEN ANGUS,M,Birth Application,26
2015,January  ,Scotland,Scotland,Argyll,Non Dairy,ABERDEEN ANGUS,M,Birth Application,4
2015,January  ,Scotland,Scotland,Lanark,Non Dairy,ABERDEEN ANGUS,M,Birth Application,5
2015,January  ,Scotland,Scotland,Bute,Non Dairy,ABERDEEN ANGUS,M,Birth Application,3
2015,January  ,Scotland,Scotland,Fife,Non Dairy,ABERDEEN ANGUS,F,Birth Application,14
2015,January  ,Scotland,Scotland,Stirling,Non Dairy,ABERDEEN ANGUS,F,Birth Application,1
2015,January  ,Scotland,Scotland,Shetland,Non Dairy,ABERDEEN ANGUS,F,Birth Application,2
2015,January  ,Scotland,Scotland,Roxburgh,Non Dairy,ABERDEEN ANGUS,M,Birth Application,16
2015,January  ,Scotland,Scotland,Roxburgh,Non Dairy,ABERDEEN ANGUS,F,Birth Application,16
2015,January  ,Scotland,Scotland,Kincardine,Non Dairy,ABERDEEN ANGUS,M,Birth Application,1
2015,January  ,Scotland,Scotland,Shetland,Non Dairy,ABERDEEN ANGUS,M,Birth Application,2
2015,January  ,Scotland,Scotland,Sutherland,Non Dairy,ABERDEEN ANGUS,M,Birth Application,2
